dataset_id,measure_id,measure_name
47,111,Приморский край
47,112,Хабаровский край
47,113,Амурская область
47,114,Магаданская область
47,115,Сахалинская область
47,116,Еврейская автономная область
47,117,Чукотский автономный округ
48,22,Российская Федерация
48,23,Центральный федеральный округ
48,24,Белгородская область
48,25,Брянская область
48,26,Владимирская область
48,27,Воронежская область
48,28,Ивановская область
48,29,Калужская область
48,30,Костромская область
48,31,Курская область
48,32,Липецкая область
48,33,Московская область
48,34,Орловская область
48,35,Рязанская область
48,36,Смоленская область
48,37,Тамбовская область
48,38,Тверская область
48,39,Тульская область
48,40,Ярославская область
48,41,г. Москва
48,42,Северо-Западный федеральный округ
48,43,Республика Карелия
48,44,Республика Коми
48,45,Архангельская область
48,46,"Архангельская область, в том числе Ненецкий автономный округ"
48,47,Архангельская область без данных по Ненецкому автономному округу
48,48,Вологодская область
48,49,Калининградская область
48,50,Ленинградская область
48,51,Мурманская область
48,52,Новгородская область
48,53,Псковская область
48,54,г. Санкт-Петербург
48,55,Южный федеральный округ
48,56,Республика Адыгея (Адыгея)
48,57,Республика Калмыкия
48,58,Республика Крым
48,59,Краснодарский край
48,60,Астраханская область
48,61,Волгоградская область
48,62,Ростовская область
48,63,г. Севастополь
48,64,Северо-Кавказский федеральный округ
48,65,Республика Дагестан
48,66,Республика Ингушетия
48,67,Кабардино-Балкарская Республика
48,68,Карачаево-Черкесская Республика
48,69,Республика Северная Осетия - Алания
48,70,Чеченская Республика
48,71,Ставропольский край
48,72,Приволжский федеральный округ
48,73,Республика Башкортостан
48,74,Республика Марий Эл
48,75,Республика Мордовия
48,76,Республика Татарстан (Татарстан)
48,77,Удмуртская Республика
48,78,Чувашская Республика - Чувашия
48,79,Пермский край
48,80,Кировская область
48,81,Нижегородская область
48,82,Оренбургская область
48,83,Пензенская область
48,84,Самарская область
48,85,Саратовская область
48,86,Ульяновская область
48,87,Уральский федеральный округ
48,88,Курганская область
48,89,Свердловская область
48,90,Тюменская область
48,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
48,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
48,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
48,94,Челябинская область
48,95,Сибирский федеральный округ
48,96,Республика Алтай
48,97,Республика Тыва
48,98,Республика Хакасия
48,99,Алтайский край
48,100,Красноярский край
48,101,Иркутская область
48,102,Кемеровская область - Кузбасс
48,103,Новосибирская область
48,104,Омская область
48,105,Томская область
48,106,Дальневосточный федеральный округ
48,107,Республика Бурятия
48,108,Республика Саха (Якутия)
48,109,Забайкальский край
48,110,Камчатский край
48,111,Приморский край
48,112,Хабаровский край
48,113,Амурская область
48,114,Магаданская область
48,115,Сахалинская область
48,116,Еврейская автономная область
48,117,Чукотский автономный округ
53,22,Российская Федерация
53,23,Центральный федеральный округ
53,24,Белгородская область
53,25,Брянская область
53,26,Владимирская область
53,27,Воронежская область
53,28,Ивановская область
53,29,Калужская область
53,30,Костромская область
53,31,Курская область
53,32,Липецкая область
53,33,Московская область
53,34,Орловская область
53,35,Рязанская область
53,36,Смоленская область
53,37,Тамбовская область
53,38,Тверская область
53,39,Тульская область
53,40,Ярославская область
53,41,г. Москва
53,42,Северо-Западный федеральный округ
53,43,Республика Карелия
53,44,Республика Коми
53,45,Архангельская область
53,46,"Архангельская область, в том числе Ненецкий автономный округ"
53,47,Архангельская область без данных по Ненецкому автономному округу
53,48,Вологодская область
53,49,Калининградская область
53,50,Ленинградская область
53,51,Мурманская область
53,52,Новгородская область
53,53,Псковская область
53,54,г. Санкт-Петербург
53,55,Южный федеральный округ
53,56,Республика Адыгея (Адыгея)
53,57,Республика Калмыкия
53,58,Республика Крым
53,59,Краснодарский край
53,60,Астраханская область
53,61,Волгоградская область
53,62,Ростовская область
53,63,г. Севастополь
53,64,Северо-Кавказский федеральный округ
53,65,Республика Дагестан
53,66,Республика Ингушетия
53,67,Кабардино-Балкарская Республика
53,68,Карачаево-Черкесская Республика
53,69,Республика Северная Осетия - Алания
53,70,Чеченская Республика
53,71,Ставропольский край
53,72,Приволжский федеральный округ
53,73,Республика Башкортостан
53,74,Республика Марий Эл
53,75,Республика Мордовия
53,76,Республика Татарстан (Татарстан)
53,77,Удмуртская Республика
53,78,Чувашская Республика - Чувашия
53,79,Пермский край
53,80,Кировская область
53,81,Нижегородская область
53,82,Оренбургская область
53,83,Пензенская область
53,84,Самарская область
53,85,Саратовская область
53,86,Ульяновская область
53,87,Уральский федеральный округ
53,88,Курганская область
53,89,Свердловская область
53,90,Тюменская область
53,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
53,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
53,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
53,94,Челябинская область
53,95,Сибирский федеральный округ
53,96,Республика Алтай
53,97,Республика Тыва
53,98,Республика Хакасия
53,99,Алтайский край
53,100,Красноярский край
53,101,Иркутская область
53,102,Кемеровская область - Кузбасс
53,103,Новосибирская область
53,104,Омская область
53,105,Томская область
53,106,Дальневосточный федеральный округ
53,107,Республика Бурятия
53,108,Республика Саха (Якутия)
53,109,Забайкальский край
53,110,Камчатский край
53,111,Приморский край
53,112,Хабаровский край
53,113,Амурская область
53,114,Магаданская область
53,115,Сахалинская область
53,116,Еврейская автономная область
53,117,Чукотский автономный округ
52,22,Российская Федерация
52,23,Центральный федеральный округ
52,24,Белгородская область
52,25,Брянская область
52,26,Владимирская область
52,27,Воронежская область
52,28,Ивановская область
52,29,Калужская область
52,30,Костромская область
52,31,Курская область
52,32,Липецкая область
52,33,Московская область
52,34,Орловская область
52,35,Рязанская область
52,36,Смоленская область
52,37,Тамбовская область
52,38,Тверская область
52,39,Тульская область
52,40,Ярославская область
52,41,г. Москва
52,42,Северо-Западный федеральный округ
52,43,Республика Карелия
52,44,Республика Коми
52,45,Архангельская область
52,46,"Архангельская область, в том числе Ненецкий автономный округ"
52,47,Архангельская область без данных по Ненецкому автономному округу
52,48,Вологодская область
52,49,Калининградская область
52,50,Ленинградская область
52,51,Мурманская область
52,52,Новгородская область
52,53,Псковская область
52,54,г. Санкт-Петербург
52,55,Южный федеральный округ
52,56,Республика Адыгея (Адыгея)
52,57,Республика Калмыкия
52,58,Республика Крым
52,59,Краснодарский край
52,60,Астраханская область
52,61,Волгоградская область
52,62,Ростовская область
52,63,г. Севастополь
52,64,Северо-Кавказский федеральный округ
52,65,Республика Дагестан
52,66,Республика Ингушетия
52,67,Кабардино-Балкарская Республика
52,68,Карачаево-Черкесская Республика
52,69,Республика Северная Осетия - Алания
52,70,Чеченская Республика
52,71,Ставропольский край
52,72,Приволжский федеральный округ
52,73,Республика Башкортостан
52,74,Республика Марий Эл
52,75,Республика Мордовия
52,76,Республика Татарстан (Татарстан)
52,77,Удмуртская Республика
52,78,Чувашская Республика - Чувашия
52,79,Пермский край
52,80,Кировская область
52,81,Нижегородская область
52,82,Оренбургская область
52,83,Пензенская область
52,84,Самарская область
52,85,Саратовская область
52,86,Ульяновская область
52,87,Уральский федеральный округ
52,88,Курганская область
52,89,Свердловская область
52,90,Тюменская область
52,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
52,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
52,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
52,94,Челябинская область
52,95,Сибирский федеральный округ
52,96,Республика Алтай
52,97,Республика Тыва
52,98,Республика Хакасия
52,99,Алтайский край
52,100,Красноярский край
52,101,Иркутская область
52,102,Кемеровская область - Кузбасс
52,103,Новосибирская область
52,104,Омская область
52,105,Томская область
52,106,Дальневосточный федеральный округ
52,107,Республика Бурятия
52,108,Республика Саха (Якутия)
52,109,Забайкальский край
52,110,Камчатский край
52,111,Приморский край
52,112,Хабаровский край
52,113,Амурская область
52,114,Магаданская область
52,115,Сахалинская область
52,116,Еврейская автономная область
52,117,Чукотский автономный округ
54,22,Российская Федерация
54,23,Центральный федеральный округ
54,24,Белгородская область
54,25,Брянская область
54,26,Владимирская область
54,27,Воронежская область
54,28,Ивановская область
54,29,Калужская область
54,30,Костромская область
54,31,Курская область
54,32,Липецкая область
54,33,Московская область
54,34,Орловская область
54,35,Рязанская область
54,36,Смоленская область
54,37,Тамбовская область
54,38,Тверская область
54,39,Тульская область
54,40,Ярославская область
54,41,г. Москва
54,42,Северо-Западный федеральный округ
54,43,Республика Карелия
54,44,Республика Коми
54,45,Архангельская область
54,46,"Архангельская область, в том числе Ненецкий автономный округ"
54,47,Архангельская область без данных по Ненецкому автономному округу
54,48,Вологодская область
54,49,Калининградская область
54,50,Ленинградская область
54,51,Мурманская область
54,52,Новгородская область
54,53,Псковская область
54,54,г. Санкт-Петербург
54,55,Южный федеральный округ
54,56,Республика Адыгея (Адыгея)
54,57,Республика Калмыкия
54,58,Республика Крым
54,59,Краснодарский край
54,60,Астраханская область
54,61,Волгоградская область
54,62,Ростовская область
54,63,г. Севастополь
54,64,Северо-Кавказский федеральный округ
54,65,Республика Дагестан
54,66,Республика Ингушетия
54,67,Кабардино-Балкарская Республика
54,68,Карачаево-Черкесская Республика
54,69,Республика Северная Осетия - Алания
54,70,Чеченская Республика
54,71,Ставропольский край
54,72,Приволжский федеральный округ
54,73,Республика Башкортостан
54,74,Республика Марий Эл
54,75,Республика Мордовия
54,76,Республика Татарстан (Татарстан)
54,77,Удмуртская Республика
54,78,Чувашская Республика - Чувашия
54,79,Пермский край
54,80,Кировская область
54,81,Нижегородская область
54,82,Оренбургская область
54,83,Пензенская область
54,84,Самарская область
54,85,Саратовская область
54,86,Ульяновская область
54,87,Уральский федеральный округ
54,88,Курганская область
54,89,Свердловская область
54,90,Тюменская область
54,91,"Тюменская область, в том числе Ханты-Мансийский автономный округ - Югра"
54,92,"Тюменская область, в том числе Ямало-Ненецкий автономный округ"
54,93,Тюменская область без данных по Ханты-Мансийскому автономному округу - Югре и Ямало-Ненецкому автономному округу
54,94,Челябинская область
54,95,Сибирский федеральный округ
54,96,Республика Алтай
54,97,Республика Тыва
54,98,Республика Хакасия
54,99,Алтайский край
54,100,Красноярский край
54,101,Иркутская область
54,102,Кемеровская область - Кузбасс
54,103,Новосибирская область
54,104,Омская область
54,105,Томская область
54,106,Дальневосточный федеральный округ
54,107,Республика Бурятия
54,108,Республика Саха (Якутия)
54,109,Забайкальский край
54,110,Камчатский край
54,111,Приморский край
54,112,Хабаровский край
54,113,Амурская область
54,114,Магаданская область
54,115,Сахалинская область
54,116,Еврейская автономная область
54,117,Чукотский автономный округ
42,22,Российская Федерация
42,23,Центральный федеральный округ
42,24,Белгородская область
42,25,Брянская область
42,26,Владимирская область
42,27,Воронежская область
42,28,Ивановская область
42,29,Калужская область
42,30,Костромская область
42,31,Курская область
42,32,Липецкая область
42,33,Московская область
42,34,Орловская область
42,35,Рязанская область
42,36,Смоленская область
42,37,Тамбовская область
42,38,Тверская область
42,39,Тульская область
42,40,Ярославская область
42,41,г. Москва
42,42,Северо-Западный федеральный округ
42,43,Республика Карелия
42,44,Республика Коми
42,45,Архангельская область
42,46,"Архангельская область, в том числе Ненецкий автономный округ"
42,47,Архангельская область без данных по Ненецкому автономному округу
